Feature,Importance
feel_hopeless,0.09263289
hours_of_sleep,0.04783421
neighborhood_violence,0.046757497
school_fight_count,0.038938794
parent_monitoring,0.03864354
incarcerated_parent,0.037933003
school_bullying,0.03453631
parent_uses_alcohol,0.033771086
age,0.03353022
parent_emotional_abuse,0.03298334
unfair_discipline_school,0.03202987
social_media,0.032007363
exercise,0.03185717
school_safety_concern,0.031441692
fight_count,0.028436499
mental_health,0.028281718
cyber_bullying,0.02799986
school_racism,0.027880782
sleep_adhd_interaction,0.027384616
ADHD,0.026826778
parent_mental_illness,0.026616858
sexual_violence,0.026549762
alcohol_frequency,0.026332797
drinking_in_a_row,0.025885997
have_friend,0.02564098
first_alcohol,0.024501277
parent_physical_abuse,0.023565318
threatened_at_school,0.023209212
hardcore_alcohol_frequency,0.022854518
ride_drinking_driver,0.022512903
parent_abuse_parent,0.020623205
considered_suicide,0.0
